company_id,month_index,risk_score,risk_tier,runway_months,mrr,churn_rate,ltv_cac_ratio,burn_multiple,composite_risk_index,consecutive_low_runway_months,actual_label_fail_within_6m
SU-10000,3,0.0,Low,96.7,55801.62,0.01,5.86,1.3443538019147112,0.0,0,0
SU-10000,4,0.0,Low,99.0,57693.57,0.0171,5.52,1.3002682967963326,0.0,0,0
SU-10000,5,0.0,Low,99.0,63589.39,0.01,5.65,1.1797112694429055,0.0,0,0
SU-10000,6,0.0,Low,99.0,59938.6,0.01,4.81,1.25156610264504,0.0,0,0
SU-10000,7,0.003194888178913738,Low,47.7,63996.44,0.01,5.14,1.5824803692205378,0.0,0,0
SU-10000,8,0.006622516556291391,Low,57.7,70982.54,0.01,6.11,1.426732686657874,0.0,0,0
SU-10000,9,0.003194888178913738,Low,70.1,76688.31,0.0163,5.39,1.3205808029933117,0.0,0,0
SU-10000,10,0.003194888178913738,Low,99.0,88818.54,0.01,5.82,1.1402248899835554,0.0,0,0
SU-10000,11,0.003194888178913738,Low,99.0,91679.17,0.0194,6.57,1.1046468898005948,0.0,0,0
SU-10000,12,0.0,Low,99.0,99911.42,0.0175,5.63,1.0136289725438794,0.0,0,0
SU-10000,13,0.0,Low,99.0,106800.76,0.01,4.04,0.9482433458338686,0.0,0,0
SU-10000,14,0.0,Low,99.0,103463.82,0.01,7.48,0.9788263182240904,0.0,0,0
SU-10000,15,0.002347417840375587,Low,99.0,112984.69,0.0205,5.18,0.8963436550562736,0.0,0,0
SU-10000,16,0.0,Low,99.0,127228.82,0.01,3.62,0.5896236403041386,0.0,0,0
SU-10000,17,0.0,Low,99.0,129020.94,0.01,5.46,0.5814336804552811,0.0,0,0
SU-10000,18,0.0,Low,99.0,140590.77,0.01,4.37,0.533584957248616,0.0,0,0
SU-10000,19,0.005681818181818182,Low,99.0,165460.29,0.01,6.16,0.4533844344162577,0.0,0,0
SU-10000,20,0.006622516556291391,Low,99.0,178578.95,0.01,4.79,0.4200781783071296,0.0,0,0
SU-10000,21,0.006622516556291391,Low,99.0,187970.88,0.01,5.04,0.3990890503890815,0.0,0,0
SU-10000,22,0.005681818181818182,Low,99.0,198372.41,0.01,5.74,0.3781630721731918,0.0,0,0
SU-10000,23,0.0431266846361186,Low,99.0,224279.61,0.0111,5.26,0.3344803390731774,0.0,0,0
SU-10000,24,0.07317073170731707,Low,99.0,242959.06,0.0308,3.18,0.3087644478044984,0.0,0,0
SU-10000,25,0.07317073170731707,Low,99.0,246354.14,0.0324,4.97,0.3045092727079804,0.0,0,0
SU-10000,26,0.07317073170731707,Low,99.0,273805.87,0.0241,4.16,0.2739792247697246,0.0,0,0
SU-10000,27,0.07317073170731707,Low,99.0,290834.18,0.01,4.73,0.2579377705880374,0.0,0,0
SU-10000,28,0.056451612903225805,Low,99.0,326295.15,0.0412,3.9,0.2299057157300683,0.0,0,0
SU-10000,29,0.056451612903225805,Low,99.0,355424.08,0.0109,4.07,0.2110636960782173,0.0,0,0
SU-10000,30,0.0431266846361186,Low,99.0,418249.5,0.0131,3.74,0.1793597362339943,0.0,0,0
SU-10000,31,0.056451612903225805,Low,99.0,448951.02,0.015,5.9,0.1670942188749231,0.0,0,0
SU-10000,32,0.07317073170731707,Low,99.0,466050.96,0.01,5.79,0.1609633418628726,0.0,0,0
SU-10000,33,0.056451612903225805,Low,99.0,505124.6,0.01,5.72,0.1485121096854122,0.0,0,0
SU-10000,34,0.07317073170731707,Low,99.0,561398.94,0.01,6.24,0.1336253324596587,0.0,0,0
SU-10000,35,0.07317073170731707,Low,99.0,586673.66,0.0213,5.34,0.1278685666576542,0.0,0,0
SU-10000,36,0.056451612903225805,Low,99.0,661238.71,0.0275,4.85,0.1134493774570457,0.0,0,0
SU-10000,37,0.056451612903225805,Low,99.0,730022.48,0.0336,4.03,0.1027600136368403,0.0,0,0
SU-10000,38,0.056451612903225805,Low,99.0,750461.35,0.0257,4.24,0.0999613371161619,0.0,0,0
SU-10000,39,0.0431266846361186,Low,99.0,792605.74,0.01,7.18,0.0946461982473152,0.0,0,0
SU-10000,40,0.0431266846361186,Low,99.0,854740.88,0.01,3.23,0.087765920357056,0.0,0,0
SU-10000,41,0.0431266846361186,Low,99.0,906044.96,0.01,7.11,0.0827962444600983,0.0,0,0
SU-10001,3,0.0,Low,12.6,19814.54,0.064,4.76,7.995498760001494,0.0,0,0
SU-10001,4,0.0,Low,11.8,21760.96,0.0308,5.04,7.280337356440158,0.0,0,0
SU-10001,5,0.0,Low,10.8,21826.67,0.0217,1.66,7.258419630662855,0.0,0,0
SU-10001,6,0.0,Low,9.8,21930.92,0.0659,2.96,7.223916278934036,0.0,0,0
SU-10001,7,0.0,Low,9.0,21810.89,0.0387,3.68,7.134694182584938,0.0,0,0
SU-10001,8,0.0,Low,8.2,22185.51,0.0533,4.16,6.871624316952822,0.0,0,0
SU-10001,9,0.003194888178913738,Low,7.2,22167.98,0.0616,3.47,6.877058261510521,0.0,0,0
SU-10001,10,0.0431266846361186,Low,6.4,22623.56,0.0552,4.93,6.577517861910327,0.0,0,0
SU-10001,11,0.4166666666666667,Watch,5.7,22572.13,0.0511,3.87,6.399723021265605,25.0,1,1
SU-10001,12,0.7499999999999999,High,4.8,25138.53,0.0664,3.04,5.746373395739528,25.0,2,1
SU-10001,13,0.8088235294117647,High,3.9,27490.23,0.0626,3.38,5.254789792591768,25.0,3,1
SU-10001,14,0.8067226890756303,High,2.9,28044.87,0.0605,3.77,5.15086645079831,25.0,4,1
SU-10001,15,0.8067226890756303,High,1.9,26593.72,0.036,2.86,5.431935810409375,25.0,5,1
SU-10001,16,0.8067226890756303,High,0.9,27034.2,0.0294,2.46,5.343430913435574,25.0,6,1
SU-10002,3,0.0,Low,31.3,24746.84,0.0294,3.92,3.5395674760898763,0.0,0,0
SU-10002,4,0.0,Low,31.9,27786.51,0.0436,3.04,3.1523609838011324,0.0,0,0
SU-10002,5,0.0,Low,30.8,27623.61,0.0542,3.23,3.170950864133978,0.0,0,0
SU-10002,6,0.0,Low,30.6,29202.64,0.0222,4.69,2.999492854070728,0.0,0,0
SU-10002,7,0.0,Low,31.9,33209.46,0.0336,5.03,2.6375951310259187,0.0,0,0
SU-10002,8,0.0,Low,36.2,37663.52,0.01,3.6,2.236658177461905,0.0,0,0
SU-10002,9,0.0,Low,36.8,39606.42,0.0211,5.06,2.126938511483744,0.0,0,0
SU-10002,10,0.0,Low,38.8,42964.02,0.015,5.45,1.960720156074781,0.0,0,0
SU-10002,11,0.0,Low,41.8,46793.18,0.01,4.58,1.8002713215900266,0.0,0,0
SU-10002,12,0.0,Low,41.8,47706.06,0.0236,4.66,1.7658222037200306,0.0,0,0
SU-10002,13,0.0,Low,49.9,54237.38,0.0527,4.37,1.5531801130511835,0.0,0,0
SU-10002,14,0.0,Low,57.7,58715.58,0.0108,4.47,1.4347200521565144,0.0,0,0
SU-10002,15,0.0,Low,66.2,62326.99,0.01,4.42,1.351588132204042,0.0,0,0
SU-10002,16,0.0,Low,73.5,64756.24,0.0291,3.22,1.3008849803509284,0.0,0,0
SU-10002,17,0.0,Low,99.0,73850.69,0.0208,3.6,1.1406856185094547,0.0,0,0
SU-10002,18,0.0,Low,99.0,79697.56,0.0163,3.47,1.0570012431999174,0.0,0,0
SU-10002,19,0.0,Low,99.0,88624.53,0.01,4.87,0.9505316417474936,0.0,0,0
SU-10002,20,0.0,Low,99.0,100833.37,0.01,3.94,0.8354418780211352,0.0,0,0
SU-10002,21,0.0,Low,99.0,114322.31,0.0301,5.82,0.736867720744971,0.0,0,0
SU-10002,22,0.0,Low,99.0,117717.58,0.01,4.16,0.7156146091348463,0.0,0,0
SU-10002,23,0.0,Low,99.0,139494.37,0.01,5.63,0.6038983508796807,0.0,0,0
SU-10002,24,0.002347417840375587,Low,99.0,149032.88,0.01,6.17,0.565247212561416,0.0,0,0
SU-10002,25,0.002347417840375587,Low,99.0,165817.34,0.01,6.33,0.50803142783499,0.0,0,0
SU-10002,26,0.006622516556291391,Low,99.0,192106.79,0.01,3.5,0.4385082901026038,0.0,0,0
SU-10002,27,0.056451612903225805,Low,99.0,229397.76,0.01,1.22,0.3672242483971944,0.0,0,0
SU-10002,28,0.07317073170731707,Low,99.0,248989.99,0.01,4.08,0.3383285408381277,0.0,0,0
SU-10002,29,0.07317073170731707,Low,99.0,271679.92,0.042,5.17,0.3100723086196433,0.0,0,0
SU-10002,30,0.07317073170731707,Low,99.0,274431.14,0.01,3.83,0.3069637796935143,0.0,0,0
SU-10002,31,0.056451612903225805,Low,99.0,292535.0,0.01,3.77,0.2879669783102876,0.0,0,0
SU-10002,32,0.07317073170731707,Low,99.0,317558.1,0.0267,4.97,0.2652756141317132,0.0,0,0
SU-10002,33,0.0431266846361186,Low,99.0,372096.61,0.0162,6.18,0.2263939464538524,0.0,0,0
SU-10002,34,0.0431266846361186,Low,99.0,408820.42,0.01,3.16,0.2060572708183216,0.0,0,0
SU-10002,35,0.0431266846361186,Low,99.0,463162.45,0.0201,5.83,0.1818809361596562,0.0,0,0
SU-10002,36,0.0431266846361186,Low,99.0,516182.8,0.0269,4.57,0.1631988125137063,0.0,0,0
SU-10002,37,0.0431266846361186,Low,99.0,570991.79,0.01,5.17,0.1475335048162426,0.0,0,0
SU-10002,38,0.0431266846361186,Low,99.0,663127.62,0.01,2.83,0.1270350042123113,0.0,0,0
SU-10002,39,0.0431266846361186,Low,99.0,779464.35,0.0251,4.96,0.1080747567223568,0.0,0,0
SU-10002,40,0.0431266846361186,Low,99.0,872558.68,0.01,3.92,0.0965441315648822,0.0,0,0
SU-10002,41,0.056451612903225805,Low,99.0,1008580.07,0.01,4.78,0.0835237801199065,0.0,0,0
SU-10003,3,0.0,Low,10.0,13478.05,0.0112,3.19,9.541098304279922,0.0,0,0
SU-10003,4,0.0,Low,9.3,13741.93,0.0654,3.63,9.203820715139722,0.0,0,0
SU-10003,5,0.002347417840375587,Low,8.2,13436.64,0.045,3.06,9.412938055942558,0.0,0,0
SU-10003,6,0.005681818181818182,Low,7.4,13428.15,0.0257,4.2,9.241583539057874,15.0,0,0
SU-10003,7,0.0431266846361186,Low,6.5,14590.35,0.0196,6.03,8.505441610379462,0.0,0,0
